Prod. year,Cylinders,Airbags,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Gear box type,Drive wheels,Doors,Wheel,Color
2009,4.0,4,961,CHEVROLET,Cruze,Sedan,Yes,Diesel,2,66630 km,Automatic,Front,04-May,Left wheel,Black
2012,4.0,10,781,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,110000 km,Tiptronic,Front,04-May,Left wheel,Red
2017,8.0,12,2225,TOYOTA,Tundra,Sedan,Yes,Petrol,4.6,190875 km,Automatic,4x4,04-May,Left wheel,White
2017,4.0,10,442,TOYOTA,Prius,Sedan,No,Hybrid,1.8,90652 km,Automatic,Front,04-May,Left wheel,Silver
2017,4.0,12,1202,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,241602 km,Automatic,Front,04-May,Left wheel,Brown
2016,4.0,0,431,FORD,Fusion,Sedan,Yes,Hybrid,2,194974 km,Automatic,Front,04-May,Left wheel,Black
2012,4.0,8,781,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,2.5,11000 km,Tiptronic,Rear,04-May,Left wheel,Black
2011,6.0,12,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,230696 km,Automatic,4x4,04-May,Left wheel,Black
2005,4.0,4,-,HONDA,FIT,Hatchback,No,Petrol,1.3,0 km,Automatic,Front,04-May,Right-hand drive,Silver
2012,6.0,16,919,BMW,535,Sedan,Yes,Petrol,3.0 Turbo,124000 km,Tiptronic,4x4,04-May,Left wheel,White
2013,4.0,12,585,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8 Turbo,115000 km,Tiptronic,Front,04-May,Left wheel,White
2016,4.0,4,730,HYUNDAI,Elantra,Sedan,Yes,LPG,1.6,49068 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,12,531,NISSAN,Juke,Jeep,No,Petrol,1.6,116000 km,Tiptronic,4x4,04-May,Left wheel,Silver
2012,4.0,4,642,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,212079 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,0,-,TOYOTA,Aqua,Sedan,No,Hybrid,1.5 Turbo,120000 km,Automatic,Front,04-May,Right-hand drive,Sky blue
2007,4.0,4,928,CHEVROLET,Kalos,Hatchback,No,Petrol,1.4,126000 km,Manual,Front,02-Mar,Left wheel,Blue
2007,8.0,8,-,MERCEDES-BENZ,S 550,Sedan,Yes,Petrol,5.5,185000 km,Tiptronic,4x4,04-May,Left wheel,Black
2016,4.0,4,1091,HYUNDAI,H1,Universal,Yes,Diesel,2.5,79000 km,Automatic,Front,04-May,Left wheel,Black
2019,4.0,12,1077,TOYOTA,CHR Limited,Jeep,No,Petrol,2,10200 km,Tiptronic,Front,04-May,Left wheel,Red
2016,4.0,12,891,MERCEDES-BENZ,CLA 250,Sedan,Yes,Petrol,2,55718 km,Automatic,4x4,04-May,Left wheel,White
2011,4.0,4,583,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,163693 km,Automatic,Front,04-May,Left wheel,Grey
2013,4.0,12,585,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,492642 km,Automatic,Front,04-May,Left wheel,Silver
2014,4.0,12,639,BMW,328,Sedan,Yes,Petrol,2.0 Turbo,74000 km,Tiptronic,Rear,04-May,Left wheel,White
2013,4.0,4,1267,TOYOTA,Aqua,Sedan,No,Hybrid,1.5,121840 km,Tiptronic,Front,04-May,Right-hand drive,Brown
2011,4.0,12,831,CHEVROLET,Equinox,Jeep,Yes,Petrol,2.4,80000 km,Automatic,Front,04-May,Left wheel,White
2004,6.0,8,-,VOLKSWAGEN,Touareg,Jeep,Yes,CNG,3.2,140000 km,Automatic,4x4,04-May,Left wheel,Silver
2003,4.0,2,-,CHEVROLET,Cruze Cruze,Hatchback,No,Petrol,1.3,160000 km,Automatic,Front,04-May,Right-hand drive,Red
2012,4.0,6,-,FORD,Fiesta,Hatchback,No,Petrol,1.6,88000 km,Automatic,Front,04-May,Left wheel,Purple
2010,4.0,4,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,216024 km,Automatic,Front,04-May,Left wheel,White
2015,4.0,12,353,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,96549 km,Automatic,Front,04-May,Left wheel,Black
2011,4.0,4,862,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,65564 km,Automatic,Front,04-May,Left wheel,Silver
2016,4.0,12,891,MERCEDES-BENZ,CLA 250,Sedan,Yes,Petrol,2,34058 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,10,503,HONDA,FIT,Hatchback,No,Petrol,1.5,33000 km,Tiptronic,Front,04-May,Left wheel,Black
2001,4.0,2,-,FORD,Transit 2.4,Microbus,Yes,Diesel,2.4 Turbo,350000 km,Manual,Rear,04-May,Left wheel,White
2004,4.0,7,-,NISSAN,Micra,Sedan,No,Petrol,1.2,248000 km,Manual,Front,02-Mar,Left wheel,Blue
2016,6.0,12,1493,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,65981 km,Automatic,Front,04-May,Left wheel,Black
2015,4.0,4,765,SSANGYONG,REXTON,Jeep,Yes,Diesel,2,147366 km,Automatic,Front,04-May,Left wheel,Grey
2011,4.0,12,831,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,185600 km,Automatic,Front,04-May,Left wheel,White
2016,4.0,4,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,166588 km,Automatic,Front,04-May,Left wheel,Grey
2014,4.0,0,584,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,193600 km,Automatic,Front,04-May,Left wheel,Silver
2011,4.0,4,862,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,69624 km,Automatic,Front,04-May,Left wheel,Black
2011,4.0,12,862,MAZDA,CX-7,Sedan,Yes,Petrol,2.5,216550 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,12,333,SUBARU,XV,Jeep,Yes,Hybrid,2,131872 km,Automatic,4x4,04-May,Left wheel,White
2003,4.0,4,-,HONDA,Civic Ferio,Sedan,No,CNG,1.5,0 km,Automatic,Front,04-May,Right-hand drive,White
2011,4.0,8,1855,HONDA,Step Wagon,Minivan,No,Petrol,2,97000 km,Tiptronic,Front,04-May,Right-hand drive,Blue
2018,4.0,12,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,4,447,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,97536 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,4,419,NISSAN,March,Hatchback,Yes,Petrol,1.2,59000 km,Automatic,Front,04-May,Left wheel,Black
1998,4.0,4,-,VOLKSWAGEN,Golf,Hatchback,Yes,Petrol,2,132085 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,0,639,SUBARU,XV,Jeep,Yes,Petrol,2,64923 km,Automatic,4x4,04-May,Left wheel,Orange
2012,6.0,12,-,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,18000 km,Tiptronic,4x4,04-May,Left wheel,Black
2012,4.0,0,531,NISSAN,Juke,Jeep,Yes,Petrol,1.6,136712 km,Automatic,4x4,04-May,Left wheel,White
2014,4.0,4,1266,TOYOTA,Aqua,Sedan,No,Hybrid,1.5,108000 km,Automatic,Front,04-May,Right-hand drive,Silver
2010,4.0,12,761,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,158136 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,12,585,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,173933 km,Automatic,Front,04-May,Left wheel,Silver
2012,4.0,12,531,MINI,Cooper,Hatchback,Yes,Petrol,1.6,104448 km,Automatic,Front,04-May,Left wheel,Brown
2017,4.0,0,382,CHEVROLET,Volt,Hatchback,Yes,Hybrid,1.5,125358 km,Automatic,Front,04-May,Left wheel,Grey
2008,6.0,12,1598,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3,175614 km,Automatic,Rear,04-May,Left wheel,Black
2014,4.0,4,584,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.8 Turbo,96000 km,Tiptronic,Front,04-May,Left wheel,White
2014,4.0,4,271,TOYOTA,Aqua,Hatchback,Yes,Hybrid,1.5,8646 km,Automatic,Front,04-May,Left wheel,White
2011,4.0,12,-,HYUNDAI,Sonata,Sedan,Yes,LPG,2,89000 km,Automatic,Front,04-May,Left wheel,Silver
2005,8.0,2,-,HONDA,Elysion,Minivan,No,Petrol,3,175000 km,Automatic,Front,04-May,Right-hand drive,White
2014,4.0,4,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2,402881 km,Automatic,Front,04-May,Left wheel,Silver
2012,4.0,12,-,FIAT,500 turbo,Hatchback,Yes,Petrol,1.4 Turbo,58000 km,Manual,Front,02-Mar,Left wheel,White
2014,8.0,12,-,BMW,X5,Jeep,Yes,Petrol,4.4 Turbo,0 km,Tiptronic,4x4,>5,Left wheel,Black
2007,4.0,6,-,TOYOTA,RAV 4,Jeep,No,Diesel,2.2 Turbo,156000 km,Manual,4x4,04-May,Left wheel,Grey
2016,4.0,4,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2,248705 km,Automatic,Front,04-May,Left wheel,Silver
2006,3.0,0,-,MITSUBISHI,Minica,Pickup,No,Petrol,0.7,0 km,Manual,4x4,02-Mar,Right-hand drive,White
2002,4.0,4,-,HONDA,FIT,Hatchback,No,Petrol,1.3,161000 km,Automatic,Front,04-May,Right-hand drive,Red
2010,6.0,8,-,AUDI,Q5,Jeep,Yes,Petrol,3.2,150000 km,Tiptronic,4x4,04-May,Left wheel,Silver
2014,6.0,0,915,BMW,X5,Jeep,Yes,Diesel,3,141384 km,Automatic,4x4,04-May,Left wheel,Blue
2003,4.0,5,-,MITSUBISHI,Pajero IO,Jeep,No,Petrol,2,180000 km,Automatic,4x4,04-May,Left wheel,Silver
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,149486 km,Automatic,4x4,04-May,Left wheel,Silver
2016,8.0,12,2377,DODGE,Ramcharger,Sedan,Yes,Petrol,5.7,39013 km,Automatic,Rear,04-May,Left wheel,Black
2013,4.0,12,585,MERCEDES-BENZ,C 250,Sedan,Yes,Petrol,1.8,156477 km,Automatic,Rear,04-May,Left wheel,White
2011,6.0,0,1018,BMW,X5,Jeep,Yes,Diesel,3,213195 km,Automatic,4x4,04-May,Left wheel,Brown
2010,4.0,4,836,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,200221 km,Automatic,Front,04-May,Left wheel,Silver
2015,4.0,4,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2,509454 km,Automatic,Front,04-May,Left wheel,Orange
2015,4.0,4,765,HYUNDAI,Sonata,Sedan,Yes,Petrol,2,63750 km,Automatic,Front,04-May,Left wheel,Black
2013,4.0,8,751,HYUNDAI,Sonata LIMITED,Sedan,Yes,Petrol,2.4,107200 km,Tiptronic,Front,04-May,Left wheel,Beige
2006,4.0,4,-,TOYOTA,Vitz,Sedan,No,Petrol,1,170000 km,Automatic,Front,04-May,Right-hand drive,Blue
2017,4.0,4,831,SSANGYONG,Actyon,Jeep,Yes,Petrol,1.6,42763 km,Automatic,Front,04-May,Left wheel,Blue
2003,4.0,4,-,FORD,Transit,Microbus,Yes,Diesel,2.4 Turbo,181000 km,Manual,Rear,04-May,Left wheel,White
2010,4.0,8,-,VOLVO,V50,Goods wagon,No,Diesel,1.6 Turbo,180300 km,Manual,Front,04-May,Left wheel,Black
2016,4.0,12,891,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,2,41611 km,Automatic,Rear,04-May,Left wheel,Black
2014,4.0,4,446,HONDA,FIT,Hatchback,Yes,Petrol,1.3,35479 km,Automatic,Front,04-May,Left wheel,Blue
2011,4.0,12,645,TOYOTA,Prius V HIBRID,Sedan,Yes,Hybrid,1.8,159000 km,Automatic,Front,04-May,Left wheel,Silver
2017,4.0,4,691,HONDA,FIT,Hatchback,Yes,Petrol,1.3,68000 km,Automatic,Front,04-May,Left wheel,White
2018,4.0,6,2266,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,7000 km,Automatic,Front,04-May,Right-hand drive,White
2018,4.0,10,1079,AUDI,A3 4X4,Sedan,Yes,Petrol,2,18283 km,Automatic,4x4,04-May,Left wheel,Black
2016,4.0,0,891,MERCEDES-BENZ,GLA 250,Jeep,Yes,Petrol,2,109555 km,Automatic,Front,04-May,Left wheel,White
2017,4.0,12,1249,TOYOTA,RAV 4,Jeep,Yes,Petrol,2.5,55362 km,Automatic,4x4,04-May,Left wheel,Blue
2013,8.0,0,1360,LEXUS,GX 470,Jeep,Yes,Petrol,4.6,202651 km,Automatic,4x4,04-May,Left wheel,Black
2002,8.0,12,-,MERCEDES-BENZ,ML 55 AMG,Jeep,Yes,Petrol,5.5,24968 km,Tiptronic,4x4,04-May,Left wheel,Silver
2014,4.0,12,308,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,146019 km,Automatic,Front,04-May,Left wheel,White
2011,4.0,4,-,HYUNDAI,Accent,Sedan,No,Petrol,1.6,109000 km,Tiptronic,Front,04-May,Left wheel,Silver
2012,4.0,12,642,MAZDA,CX-5,Jeep,No,Petrol,2,105760 km,Tiptronic,4x4,04-May,Left wheel,Grey
2013,4.0,8,585,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,281600 km,Variator,Front,04-May,Left wheel,Blue
2012,4.0,4,781,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,54595 km,Automatic,Front,04-May,Left wheel,Grey
2011,4.0,12,800,MAZDA,CX-7,Jeep,Yes,Petrol,2.3,184576 km,Automatic,4x4,04-May,Left wheel,Black
2012,4.0,0,753,HYUNDAI,Tucson,Jeep,Yes,Petrol,2.4,177080 km,Automatic,Front,04-May,Left wheel,Silver
2018,4.0,12,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 km,Automatic,Front,04-May,Left wheel,White
2015,4.0,4,629,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,48424 km,Automatic,Front,04-May,Left wheel,Silver
2014,4.0,12,584,HYUNDAI,Elantra Limited,Sedan,No,Petrol,1.8,144000 km,Tiptronic,Front,04-May,Left wheel,Grey
2014,4.0,4,639,SSANGYONG,REXTON,Jeep,Yes,Diesel,2,108105 km,Automatic,Front,04-May,Left wheel,Black
2012,4.0,12,-,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,304000 km,Tiptronic,Front,04-May,Left wheel,Carnelian red
2013,4.0,0,640,AUDI,A4,Sedan,Yes,Petrol,2,157584 km,Automatic,4x4,04-May,Left wheel,Black
2017,4.0,12,-,FORD,C-MAX,Sedan,No,Hybrid,2,77254 km,Automatic,Front,04-May,Left wheel,Black
1997,4.0,0,-,VOLKSWAGEN,Passat,Goods wagon,No,Petrol,1.8 Turbo,160000 km,Manual,Front,04-May,Left wheel,Blue
2012,4.0,12,781,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,2.5,81115 km,Tiptronic,Front,04-May,Left wheel,Black
2011,6.0,12,1018,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3,273186 km,Automatic,Rear,04-May,Left wheel,White
1997,4.0,2,-,HONDA,Civic,Hatchback,No,Petrol,1.4,300000 km,Manual,Front,02-Mar,Left wheel,White
2017,4.0,4,1017,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,75000 km,Automatic,Front,04-May,Left wheel,White
2020,4.0,12,-,JAGUAR,E-pace p200,Jeep,No,Petrol,2,0 km,Tiptronic,4x4,04-May,Left wheel,Black
2016,4.0,4,889,KIA,Optima,Sedan,Yes,Petrol,2,62876 km,Automatic,Front,04-May,Left wheel,White
2008,6.0,12,-,LEXUS,RX 400,Jeep,Yes,Hybrid,3.3,132800 km,Automatic,4x4,04-May,Left wheel,White
2008,6.0,12,-,LEXUS,GS 350,Sedan,Yes,Petrol,3.5,132500 km,Tiptronic,Rear,04-May,Left wheel,Grey
2014,4.0,12,584,MERCEDES-BENZ,C 250,Coupe,Yes,Petrol,1.8,121699 km,Automatic,Rear,02-Mar,Left wheel,Black
2005,6.0,8,-,AUDI,A6,Sedan,Yes,Petrol,3.2,256000 km,Tiptronic,4x4,04-May,Left wheel,Silver
2008,6.0,12,1598,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3,175614 km,Automatic,Rear,04-May,Left wheel,Black
2010,4.0,4,836,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,259385 km,Automatic,Front,04-May,Left wheel,Silver
2007,4.0,4,1282,KIA,Sportage,Jeep,Yes,Diesel,2,79776 km,Automatic,Front,04-May,Left wheel,White
1998,4.0,5,-,MERCEDES-BENZ,Vito,Minivan,No,CNG,2.3,300000 km,Manual,Front,>5,Left wheel,Silver
2014,4.0,0,259,CHEVROLET,Volt,Hatchback,Yes,Hybrid,1.4,112123 km,Automatic,Front,04-May,Left wheel,Silver
2013,4.0,4,364,CHEVROLET,Spark,Minivan,Yes,Petrol,1,48143 km,Automatic,Front,04-May,Left wheel,Silver
2003,6.0,2,-,BMW,X5,Jeep,Yes,LPG,3,18900 km,Tiptronic,Front,04-May,Left wheel,Grey
2019,4.0,12,1325,MAZDA,CX-9,Jeep,Yes,Petrol,2.5,14186 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,12,779,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,95000 km,Tiptronic,Front,04-May,Left wheel,Black
2010,4.0,4,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,232801 km,Automatic,Front,04-May,Left wheel,Grey
2013,6.0,0,-,HYUNDAI,Elantra,Coupe,No,Petrol,1.8,77000 km,Manual,Front,02-Mar,Left wheel,Beige
2012,6.0,12,1058,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,128202 km,Automatic,Rear,04-May,Left wheel,Black
2017,4.0,12,481,BMW,114,Sedan,Yes,Hybrid,2,0 km,Automatic,Rear,04-May,Left wheel,Black
1994,6.0,4,-,FORD,Explorer,Jeep,Yes,CNG,4,272000 km,Automatic,4x4,04-May,Left wheel,Carnelian red
2015,4.0,6,697,TOYOTA,Corolla LE,Sedan,No,Petrol,1.8,68221 km,Automatic,Front,04-May,Left wheel,White
2014,6.0,12,-,MERCEDES-BENZ,S 350 W2222,Sedan,Yes,Diesel,3.0 Turbo,222222 km,Tiptronic,Rear,04-May,Left wheel,Black
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,149486 km,Automatic,4x4,04-May,Left wheel,Silver
2015,4.0,0,697,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.8,45605 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,4,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,170713 km,Automatic,Front,04-May,Left wheel,White
1996,6.0,4,-,BMW,528,Sedan,Yes,Petrol,2.8,0 km,Manual,Rear,04-May,Left wheel,Silver
2012,4.0,0,475,CHEVROLET,Volt,Jeep,Yes,Hybrid,1.4,188419 km,Automatic,Front,04-May,Left wheel,Red
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,184467 km,Automatic,Rear,04-May,Left wheel,White
2015,4.0,0,382,FORD,Fusion,Sedan,Yes,Hybrid,2,100747 km,Automatic,Front,04-May,Left wheel,Green
2012,8.0,0,1363,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,229334 km,Automatic,4x4,04-May,Left wheel,Black
2017,4.0,12,924,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,1.8 Turbo,49800 km,Automatic,Front,04-May,Left wheel,Grey
2015,8.0,0,-,MERCEDES-BENZ,GLE 350,Jeep,Yes,Petrol,3.5,0 km,Tiptronic,4x4,04-May,Right-hand drive,Black
2002,4.0,2,-,NISSAN,X-Trail,Universal,No,CNG,2,147000 km,Automatic,4x4,04-May,Right-hand drive,Black
2012,6.0,12,1058,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,232357 km,Automatic,4x4,04-May,Left wheel,Black
2012,4.0,12,781,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,195994 km,Variator,Front,04-May,Left wheel,Silver
2011,4.0,4,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,144096 km,Automatic,Front,04-May,Left wheel,Silver
2012,6.0,12,1058,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,236016 km,Automatic,Front,04-May,Left wheel,Black
2018,4.0,4,831,HONDA,FIT,Hatchback,Yes,Petrol,1.5,6213 km,Automatic,Front,04-May,Left wheel,Blue
2012,4.0,10,-,CHEVROLET,Volt,Sedan,Yes,Plug-in Hybrid,1.4,62000 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,0,531,NISSAN,Juke,Jeep,Yes,Petrol,1.6,173576 km,Automatic,4x4,04-May,Left wheel,Red
2012,6.0,12,1058,TOYOTA,Highlander,Jeep,Yes,Petrol,3.5,285186 km,Automatic,Front,04-May,Left wheel,Grey
2014,8.0,12,1356,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,76000 km,Tiptronic,4x4,04-May,Left wheel,Grey
2014,4.0,4,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,107483 km,Automatic,Front,04-May,Left wheel,Silver
2011,4.0,4,862,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,76519 km,Automatic,Front,04-May,Left wheel,White
2014,4.0,4,-,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,115200 km,Automatic,Front,04-May,Left wheel,White
2017,8.0,10,1946,TOYOTA,4Runner,Jeep,Yes,Petrol,4,91813 km,Automatic,4x4,04-May,Left wheel,Black
2008,6.0,8,-,TOYOTA,4Runner,Jeep,No,Petrol,4,127000 km,Automatic,4x4,04-May,Left wheel,Black
2001,6.0,8,-,MERCEDES-BENZ,C 240,Sedan,Yes,Petrol,2.6,0 km,Tiptronic,Rear,04-May,Left wheel,Silver
2016,4.0,12,345,TOYOTA,Prius,Sedan,Yes,Hybrid,1.5,296104 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,4,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2,571919 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,4,864,JEEP,Wrangler,Jeep,Yes,Diesel,2.8,141173 km,Automatic,Front,04-May,Left wheel,Silver
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,95987 km,Automatic,4x4,04-May,Left wheel,Black
2016,4.0,0,-,AUDI,A4,Sedan,Yes,Diesel,2.0 Turbo,98000 km,Tiptronic,Front,04-May,Left wheel,Black
2013,4.0,0,585,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,102675 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,8,584,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8 Turbo,53000 km,Tiptronic,Front,04-May,Left wheel,Silver
2003,5.0,4,-,MERCEDES-BENZ,Sprinter,Microbus,No,Diesel,2.7 Turbo,116000 km,Tiptronic,Rear,02-Mar,Left wheel,White
2011,4.0,4,645,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,129000 km,Variator,Front,04-May,Left wheel,Grey
2004,4.0,4,-,NISSAN,Presage,Minivan,No,CNG,2.5,0 km,Automatic,4x4,04-May,Right-hand drive,Beige
2016,4.0,12,1091,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,154314 km,Automatic,Front,04-May,Left wheel,Grey
2018,4.0,12,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,0,753,TOYOTA,Camry,Sedan,Yes,Hybrid,2.4,198400 km,Automatic,Front,04-May,Left wheel,Red
2015,4.0,6,-,FORD,Focus Flexfuel,Sedan,No,Petrol,2,165616 km,Automatic,Front,04-May,Left wheel,Black
2013,4.0,4,-,FORD,Transit,Goods wagon,No,Diesel,2.2 Turbo,147000 km,Manual,Front,04-May,Left wheel,White
2004,4.0,0,-,TOYOTA,Ipsum,Minivan,No,Petrol,2.4,195000 km,Automatic,Front,04-May,Right-hand drive,Black
2013,4.0,8,-,HONDA,FIT,Hatchback,No,Hybrid,1.3,112000 km,Variator,Front,04-May,Right-hand drive,White
2012,6.0,12,1058,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3.5,193267 km,Automatic,4x4,04-May,Left wheel,Grey
1986,2.0,0,-,VAZ,2106,Sedan,No,CNG,1.3,1000 km,Manual,Front,04-May,Left wheel,Blue
2016,4.0,12,-,HYUNDAI,Elantra,Sedan,No,Petrol,2,77643 km,Tiptronic,Front,04-May,Left wheel,Carnelian red
2014,6.0,12,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,146395 km,Automatic,Rear,04-May,Left wheel,Grey
2010,8.0,0,1811,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,275240 km,Automatic,4x4,04-May,Left wheel,Silver
2017,4.0,4,-,KIA,Picanto,Sedan,No,Petrol,1.2,46000 km,Manual,Front,04-May,Left wheel,Silver
2015,4.0,4,629,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,103825 km,Automatic,Front,04-May,Left wheel,White
2014,4.0,8,-,TOYOTA,Camry,Sedan,No,Petrol,2.5,167680 km,Tiptronic,Front,04-May,Left wheel,Black
2012,4.0,4,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,120334 km,Automatic,Front,04-May,Left wheel,Silver
2013,6.0,0,917,BMW,X5,Jeep,Yes,Diesel,3,137802 km,Automatic,4x4,04-May,Left wheel,Black
2005,4.0,2,-,NISSAN,Note,Hatchback,No,Petrol,1.5,190000 km,Variator,Front,04-May,Right-hand drive,Beige
2013,4.0,10,585,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,126000 km,Tiptronic,Front,04-May,Left wheel,Grey
2007,8.0,8,-,TOYOTA,Prius,Sedan,Yes,Petrol,1.6,235200 km,Tiptronic,Front,04-May,Left wheel,Black
2014,4.0,12,308,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,112000 km,Automatic,Front,04-May,Left wheel,White
2012,6.0,12,1058,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,0 km,Automatic,Front,04-May,Left wheel,Black
2001,4.0,2,-,TOYOTA,Corolla,Sedan,No,Petrol,1.5,138000 km,Automatic,Front,04-May,Right-hand drive,Silver
2012,4.0,4,748,CHEVROLET,1500,Sedan,Yes,Petrol,2.4,96973 km,Automatic,Front,04-May,Left wheel,Black
2009,6.0,0,1405,BMW,X5,Jeep,Yes,Diesel,3,229854 km,Automatic,4x4,04-May,Left wheel,Green
2012,6.0,12,1058,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,128202 km,Automatic,Rear,04-May,Left wheel,Black
2011,6.0,12,1018,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3,273186 km,Automatic,Rear,04-May,Left wheel,White
2007,4.0,4,1288,CHEVROLET,Captiva,Jeep,Yes,Diesel,2,50412 km,Automatic,Front,04-May,Left wheel,White
2017,4.0,12,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2,1600 km,Automatic,Rear,04-May,Left wheel,Black
2015,4.0,4,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2,39736 km,Automatic,Front,04-May,Left wheel,White
2011,4.0,10,521,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4 Turbo,93000 km,Tiptronic,Front,04-May,Left wheel,Grey
2011,4.0,0,831,HYUNDAI,Tucson,Jeep,Yes,Petrol,2.4,179746 km,Automatic,Front,04-May,Left wheel,White
2016,4.0,4,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2,236958 km,Automatic,Front,04-May,Left wheel,White
